Ordinal,Codigo,CIG_SI_NO_*_2,votos_CIG,votos_No_CIG,Titulo,Resumen,Title,Abstract,,,,,
144,#C69,2,2,1,Estimación del rendimiento de maíz a través de la asimilación de datos de detección remota en el modelo CSM-CERES-Maize,"Una de las aplicaciones de los modelos de simulación de cultivos es estimar el rendimiento de los cultivos durante la temporada de crecimiento actual. Varios estudios han intentado integrar modelos de simulación de cultivos con datos de detección remota a través de métodos de asimilación de datos. Este enfoque tiene la ventaja de permitir la reinicialización de los parámetros del modelo con observaciones de detección remota para mejorar el rendimiento del modelo. En este estudio, el Modelo de Sistema de Cultivo-CERES-Maíz se integró con los productos del índice de área foliar (LAI) del Espectrorradiómetro de Imágenes de Resolución Moderada (MODIS) para estimar el rendimiento del maíz en el estado de Indiana, EE. UU. Este procedimiento, la inversión del modelo de simulación de cultivos, facilita varios modos diferentes de entrada del usuario y genera una serie de parámetros agronómicos y biofísicos, incluido el rendimiento del cultivo. El rendimiento estimado de maíz en 2000 se comparó razonablemente bien con las estadísticas del Servicio Nacional de Estadísticas Agrícolas del Departamento de Agricultura de los Estados Unidos para la mayoría de los condados. El uso del LAI estacional en el procedimiento de optimización produjo los mejores resultados en comparación con solo los LAI verdes o los valores de LAI más altos. Las fechas de siembra, emergencia y maduración, y las tasas de aplicación de fertilizantes de N también se estimaron a nivel regional. Otros estudios incluirán la investigación de incertidumbres del modelo y el uso de otros productos MODIS, como el índice de vegetación mejorado.",Corn-yield estimation through assimilation of remotely sensed data into the CSM-CERES-Maize model,"One of the applications of crop simulation models is to estimate crop yield during the current growing season. Several studies have tried to integrate crop simulation models with remotely sensed data through data-assimilation methods. This approach has the advantage of allowing reinitialization of model parameters with remotely sensed observations to improve model performance. In this study, the Cropping System Model-CERES-Maize was integrated with the Moderate Resolution Imaging Spectroradiometer (MODIS) leaf area index (LAI) products for estimating corn yield in the state of Indiana, USA. This procedure, inversion of crop simulation model, facilitates several different user input modes and outputs a series of agronomic and biophysical parameters, including crop yield. The estimated corn yield in 2000 compared reasonably well with the US Department of Agriculture National Agricultural Statistics Service statistics for most counties. Using the seasonal LAI in the optimization procedure produced the best results compared with only the green-up LAIs or the highest LAI values. Planting, emergence and maturation dates, and N fertilizer application rates were also estimated at a regional level. Further studies will include investigating model uncertainties and using other MODIS products, such as the enhanced vegetation index.",,,,,
145,#C6A,0,1,2,El papel del albedo en la nube en la recuperación de concentraciones de mediciones de ocupación de sensores satelitales,"Se examina el papel del albedo de las nubes en la recuperación de concentraciones de gases químicos de las mediciones de ocultación solar del sensor satelital para un caso específico, el de las especies químicas (óxido nítrico y dióxido de nitrógeno) que experimentan grandes cambios fotoquímicos en el momento de las mediciones. Se encontró por simulación que la presencia de nubes aumenta la cantidad de radiación difusa, mejorando así el papel de las reacciones fitoquímicas que controlan la variabilidad temporal y espacial de NO y NO2 en el momento de la medición (puesta de sol y amanecer). Esto implica que si se supone que la atmósfera está despejada, aunque en realidad está nublada, los perfiles de altitud de NO y NO2 recuperados llevarán errores debido al modelado inadecuado de la variabilidad espacial de estas especies a lo largo de la línea de visión. Se encontró que, en estas circunstancias, el perfil de NO recuperado para el rango de altitud de 16 a 22 km conlleva un error promedio de aproximadamente el 30 por ciento, mientras que para altitudes inferiores a 16 km el perfil recuperado refleja un error de tres órdenes de magnitud. Los errores de NO2 son considerablemente más pequeños y varían alrededor del 10-12 por ciento.",The role of cloud albedo in the retrieval of concentrations from satellite sensor occupation measurements,"The role of cloud albedo in the retrieval of concentrations of chemical gases from satellite sensor solar occultation measurements is examined for a specific case, that of chemical species (nitric oxide and nitrogen dioxide) experiencing large photochemical changes at the time of measurements. It was found by simulation that the presence of clouds increases the amount of diffuse radiation, thus enhancing the role of the phqtochemical reactions which control the temporal and spatial variability of NO and NO2at the time of measurement (sunset and sunrise). This implies that if the atmosphere is assumed cloudless although it is in reality cloudy, the retrieved NO and NO2tangent altitude profiles will carry errors due to the inadequate modelling of the spatial variability of these species along the line of sight. It was found that under these circumstances the retrieved NO profile for the altitude range from 16 to 22 km carries an average error of approximately 30 per cent, whereas for altitudes below 16 km the recovered profile reflects error of three orders of magnitude. NO2errors are considerably smaller, and vary around 10-12 per cent.",,,,,
146,#C6B,2,2,1,Concentración de nitrógeno en el follaje vegetal de Nueva Zelanda derivado de la espectrometría de laboratorio y de campo.,"Se desarrollaron modelos de regresión lineal múltiple de las concentraciones de nitrógeno en las hojas a partir de los valores medidos de las hojas de especies de plantas nativas de Nueva Zelanda seleccionadas y la absorción espectral obtenida de la espectrometría NIR de laboratorio (NIRS 6500). Se produjeron dos conjuntos de ecuaciones a partir de muestras que fueron de follaje seco y molido o de follaje fresco e intacto. El nitrógeno del dosel se predijo a partir de estas ecuaciones derivadas de laboratorio y se aplicó a los datos del espectrorradiómetro GER 2600 recopilados por encima de los dosel de plantas pequeñas (r2 = 0.65 a 0.77). Los datos de reflectancia del NIRS 6500 y GER 2600 no fueron directamente comparables, por lo tanto, fue necesario calibrar los valores de nitrógeno del dosel predichos para colocar el nitrógeno pronosticado en el rango de valores observado. La mayor precisión se produjo cuando las longitudes de onda seleccionadas en el análisis de laboratorio no eran #$#atribuibles#$# a los enlaces de nitrógeno sino a compuestos de carbohidratos complejos (por ejemplo, 2160 nm). Además, como las ecuaciones de laboratorio se derivaron de tamaños de muestra pequeños, el nitrógeno del dosel se predijo con mayor precisión cuando se utilizó una sola longitud de onda ##atribuible##.",Nitrogen concentration in New Zealand vegetation foliage derived from laboratory and field spectrometry,"Multiple linear regression models of leaf nitrogen concentrations were developed from measured leaf values of selected native New Zealand plant species and spectral absorption obtained from laboratory NIR spectrometry (NIRS 6500). Two sets of equations were produced from samples that were from either dried and ground or fresh and intact foliage. Canopy nitrogen was predicted from these laboratory-derived equations and applied to GER 2600 spectroradiometer data collected above small plant canopies (r2 = 0.65 to 0.77). Reflectance data from the NIRS 6500 and GER 2600 were not directly comparable, therefore calibration of predicted canopy nitrogen values was necessary to place the predicted nitrogen in the observed range of values. Highest accuracy occurred where wavelengths selected in the laboratory analysis were not ##attributable## to nitrogen bonds rather to complex carbohydrate compounds (e.g. 2160 nm). In addition, as laboratory equations were derived from small sample sizes, canopy nitrogen was predicted with greatest accuracy when only a single ##attributable## wavelength was utilised.",,,,,
147,#C6C,0,1,2,Cartografía de la extensión de la palma aceitera en Malasia utilizando datos ALOS-2 PALSAR-2,"La extensión de las plantaciones de palma aceitera ha aumentado rápidamente en Malasia en las últimas décadas. Para evaluar los efectos ecológicos y los valores económicos, es importante producir un mapa preciso de palma aceitera para Malasia. El radar de apertura sintética de banda L tipo Phased Array (PALSAR) en el satélite de observación terrestre avanzada (ALOS) es útil en el mapeo de la cubierta terrestre en regiones tropicales en condiciones climáticas. En este estudio, las imágenes PALSAR-2 de 2015 se utilizaron para el mapeo de palma aceitera con clasificación supervisada basada en el clasificador de máxima verosimilitud (MLC). Los datos procesados â€‹â€‹de PALSAR-2 se volvieron a muestrear en múltiples resoluciones más gruesas (50, 100, 250, 500 y 1000 m), y luego se utilizaron para investigar el efecto del moteado en el mapeo de palma aceitera. Se utilizaron tanto muestras de prueba independientes como inventarios de la Junta de Aceite de Palma de Malasia (MPOB) para evaluar la precisión del mapeo. El resultado del mapeo de la palma de aceite indica que 50â€”500 m son una buena resolución para retener detalles espaciales o reducir el ruido de manchas de las imágenes PALSAR-2. Entre los cuales, las mejores precisiones generales de mapeo y la precisión promedio de la palma aceitera alcanzaron 94.50% y 89.78%, respectivamente. Además, el área de palma aceitera derivada del mapa de resolución de 100 m es de 6,14 millones de hectáreas (Mha), que es la más cercana a los inventarios oficiales de MPOB (~ 8,87% de sobreestimación).",Mapping oil palm extent in Malaysia using ALOS-2 PALSAR-2 data,"The extent of oil palm plantations has increased rapidly in Malaysia over the past few decades. To evaluate ecological effects and economic values, it is important to produce an accurate oil palm map for Malaysia. The Phased Array Type L-band Synthetic Aperture Radar (PALSAR) on the Advance Land Observing Satellite (ALOS) is useful in land-cover mapping in tropical regions under all-weather conditions. In this study, PALSAR-2 images from 2015 were used for oil palm mapping with maximum likelihood classifier (MLC)-based supervised classification. The processed PALSAR-2 data were resampled to multiple coarser resolutions (50, 100, 250, 500, and 1000 m), and then used to investigate the effect of speckle in oil palm mapping. Both independent testing samples and inventories from the Malaysia Palm Oil Board (MPOB) were used to evaluate the mapping accuracy. The oil palm mapping result indicates 50â€”500 m to be a good resolution for either retaining spatial details or reducing speckle noise of PALSAR-2 images. Among which, the best overall mapping accuracies and average oil palm accuracies reached 94.50% and 89.78%, respectively. Moreover, the oil palm area derived from the 100-m resolution map is 6.14 million hectares (Mha), which is the closest to the official MPOB inventories (~8.87% overestimation).",,,,,
148,#C6D,2,2,1,Detección de cambio de imagen SAR puntiaguda basada en el modelo de estereógrafo con información de vecindario de múltiples luces,"En este artículo, se propone un nuevo enfoque puntiagudo para la detección de cambios en imágenes de radar de apertura sintética (SAR) bitemporales utilizando el modelo de estereógrafo. Debido al hecho de que la imagen SAR sufre del ruido moteado, un enfoque puntual basado en un conjunto de puntos característicos solamente, no en los píxeles completos, parece ser más eficiente. Además, las correlaciones de los puntos de vecindad que tienen ubicaciones diferentes en las imágenes SAR bi-temporales deben estudiarse para reprimir el punto en la detección de cambios. Por lo tanto, el modelo de estereografía, que extiende el modelo gráfico al espacio tridimensional, está diseñado para conectar los píxeles máximos locales en imágenes SAR bitemporales y puede usarse para capturar la información de vecindad de varios tramos desde los bordes. Además, se presenta una función de medida de cambio especializada para cuantificar la información de vecindad del modelo de estereógrafo y, por lo tanto, se genera una nueva imagen de diferencia no densa (NDI). Finalmente, se utiliza un método de clasificación tradicional para analizar el NDI en clase modificada y clase no modificada. Los experimentos en imágenes SAR reales muestran que el NDI propuesto puede mejorar la separabilidad entre áreas cambiadas y sin cambios, y los resultados finales poseen una alta precisión y una fuerte inmunidad al ruido para tareas de detección de cambios con imágenes SAR contaminadas con ruido.",Pointwise SAR image change detection based on stereograph model with multiple-span neighbourhood information,"In this article, a novel pointwise approach is proposed for change detection in bi-temporal synthetic aperture radar (SAR) images using stereograph model. Due to the fact that SAR image suffers from the speckle noise, a pointwise approach based on a set of characteristic points only, not on the whole pixels, seems to be more efficient. Moreover, the correlations of neighbourhood points which have different locations in bi-temporal SAR images should be studied to repress the speckle in change detection. Therefore, the stereograph model, which extends the graph model to three-dimensional space, is designed to connect the local maximum pixels on bi-temporal SAR images and can be used to capture the multiple-span neighbourhood information from the edges. Furthermore, a specialized change measure function is presented to quantify the neighbourhood information from stereograph model, and thus, a novel nondense difference image (NDI) is generated. Finally, a traditional classification method is used to analyse the NDI into changed class and unchanged class. Experiments on real SAR images show that the proposed NDI can improve separability between changed and unchanged areas, and the final results possess high accuracy and strong noise immunity for change detection tasks with noise-contaminated SAR images.",,,,,
149,#C6E,0,1,2,Demostración de la vigilancia operativa del hielo marino en el mar Báltico con ERS-1 SAR,"El Báltico del Norte, durante los inviernos normales, está cubierto por hielo Tor durante varios meses. Esto afecta severamente el tráfico marítimo en el área. La Junta de Navegación de Finlandia actualmente opera nueve rompehielos durante la temporada de invierno. Desde el lanzamiento de ERS-1 en 1991, las imágenes del radar de apertura sintética (SAR) se han utilizado como ayuda para la tripulación del rompehielos, y más tarde también por el Servicio de Hielo. Las imágenes de entrega rápida ERS-1 se procesan y se muestran en estaciones de trabajo especialmente desarrolladas. El documento describe los procedimientos desarrollados para manejar los datos, la estación de trabajo para romper el hielo y las experiencias de las tres imágenes de inviernos SAR del ERS-1.",Demonstration of operational sea-ice monitoring in the baltic sea with ERS-1 SAR,"The Northern Baltic, during normal winters, is covered by ice Tor several months. This severely affects the marine traffic in the area. The Finnish Board of Navigation currently operates nine icebreakers during the winter season. Since the launch of ERS-1 in 1991, Synthetic Aperture Radar (SAR) images have been used as an aid for the icebreaker crew, and later also by the Ice Service. ERS-1 fast delivery images are processed and displayed on specially developed work stations. The paper describes the procedures developed for handling the data, the icebreaker work station, and experiences from the three winters ERS-1 SAR images have been used.",,,,,
150,#C6F,0,1,2,Características espectrales del trigo asociado a las micro páginas de hidrocarburos.,"Se analizaron espectros de trigo medidos en el campo en un área petrolífera al norte de Changyi, al sur del delta del río Amarillo en el este de China, para estudiar las relaciones entre las características espectrales y la microinyección de hidrocarburos. A lo largo de dos transectos sobre yacimientos de petróleo conocidos, los contenidos de gas etano medidos en el suelo muestran valores altos por encima de los contactos y fallas de petróleo-agua. El contenido de carbonato delta también mostró valores altos en estos contactos. Ambas características son indicativas de microsepage de hidrocarburos. Se calcularon las posiciones de borde rojo de los espectros de trigo y se encontró que estaban posicionadas a 744,43 nm en áreas de microseje y 738,26nm en áreas sin microseparado; un cambio de 7 nm a una longitud de onda más larga (cambio rojo). Además, un análisis de regresión de las posiciones de los puntos de inflexión del borde rojo frente a delta carbonato y etano muestra una correlación estadísticamente significativa que indica una posible relación entre la microseparación y las propiedades espectrales del trigo. Esta investigación demuestra que, a escala de campo, la teledetección se puede utilizar potencialmente para detectar micro páginas de hidrocarburos en áreas de monocultivo agrícola.",Spectral characteristics of wheat associated with hydrocarbon microseepages,"Spectra of wheat measured in the field in an oil-bearing area north of Changyi, south of the Yellow River delta in eastern China, were analysed to study the relations between spectral characteristics and hydrocarbon microseepage. Along two transects over known petroleum reservoirs, ethane gas contents measured in soil show high values above the oil-water contacts and faults. Delta carbonate contents also showed high values at these contacts. Both features are indicative of hydrocarbon microseepage. The red-edge positions of wheat spectra were calculated and found to be positioned at 744.43nm in areas of microseepage and 738.26nm in areas with no microseepage; a 7nm shift to longer wavelength (red shift). Furthermore, a regression analysis of the red-edge inflection point positions versus delta carbonate and ethane shows a statistically significant correlation indicating a possible relation between microseepage and spectral properties of wheat. This research demonstrates that at a field scale remote sensing can potentially be used to detect hydrocarbon microseepages in areas of agricultural monoculture.",,,,,
151,#C70,2,3,0,Corrección contextual: técnicas para mejorar el mapeo de la cubierta terrestre a partir de imágenes con sensores remotos,"El mapeo de la cubierta terrestre de área grande es una aplicación importante de la teledetección. Recientemente se ha compilado un mapa digital de la cubierta terrestre de Gran Bretaña mediante la clasificación supervisada de datos de Landsat Thematic Mapper. El trabajo ha implicado el desarrollo de una gama de procedimientos de clasificación posterior para corregir errores contextuales asociados con el uso de algoritmos de clasificación espectral. Este documento describe estos procedimientos y examina sus efectos sobre el producto del mapa, incluida una comparación con los datos de la encuesta de campo.",Contextual correction: Techniques for improving land cover mapping from remotely sensed images,Large area land cover mapping is an important application of remote sensing. A digital land cover map of Great Britain has recently been compiled by supervised classification of Landsat Thematic Mapper data. The work has involved development of a range of post classification procedures to correct contextual errors associated with the use of spectral classification algorithms. This paper describes these procedures and examines their effects upon the map product including a comparison with field survey data.,,,,,
152,#C71,2,3,0,Método de recuperación de propiedades del estratocúmulo a partir de datos NOAA-AVHRR basado en la discretización de los parámetros de la nube,"Se presenta un método para determinar el grosor óptico, el radio de gota efectivo y la temperatura de las nubes de estratocúmulos oceánicos de los canales infrarrojos NOAA-AVHRR. Los datos satelitales utilizados en el presente estudio corresponden a imágenes nocturnas en las que las nubes estratiformes a gran escala se superponen al océano. El procedimiento se basa en la inversión de un modelo de transferencia radiativa atmosférica que utiliza el método de ordenadas discretas llamado DISORT. Se presenta un estudio detallado que muestra que la recuperación de los parámetros de la nube es ambigua, lo que resulta en varias soluciones posibles, porque algunos pares de radios de partículas efectivos y grosores ópticos producen las mismas temperaturas de brillo. Se propone la discretización de estos dos parámetros, basada en el comportamiento radiativo de la capa de nubes, para evitar estas soluciones múltiples. Además, la inversión del modelo presenta algunas dificultades que se han resuelto utilizando un algoritmo genético. El esquema de recuperación actual se aplica a los datos satelitales para comparar resultados con mediciones locales in situ y se obtiene un buen acuerdo en esos píxeles cerca del sitio de la muestra.",Stratocumulus properties retrieval method from NOAA-AVHRR data based on the discretization of cloud parameters,"A method is presented for determining the optical thickness, effective droplet radius and temperature of oceanic stratocumulus clouds from NOAA-AVHRR infrared channels. The satellite data used in the present study correspond to night-time images in which large-scale stratiform clouds overlay the ocean. The procedure is based on the inversion of an atmospheric radiative transfer model that makes use of the discrete ordinates method called DISORT. A detailed study is presented which shows that cloud parameter retrieval is ambiguous, resulting in several possible solutions, because some pairs of effective particle radius and optical thickness produce the same brightness temperatures. The discretization of these two parameters, based on the cloud layer radiative behaviour, is proposed to avoid these multiple solutions. In addition, the model inversion presents some difficulties that have been solved using a genetic algorithm. The current retrieval scheme is applied to satellite data to compare results with local in situ measurements and a good agreement is obtained in those pixels near the sample site.",,,,,
153,#C72,0,0,3,"Características y causas de la variación de la vegetación en las regiones de origen del río Amarillo, China.","El medio ambiente en la región de origen del río Amarillo en el oeste de China ha experimentado un deterioro en las últimas décadas. La vegetación afectada por las variables climáticas y las actividades antropogénicas es indicativa del bienestar del medio ambiente. Para cuantificar las variaciones temporales y espaciales de la cobertura vegetal y analizar las posibles causas de las variaciones, analizamos los datos de índice de vegetación de diferencia normalizada (NDVI), temperatura y precipitación de 2000 a 2007. Descubrimos que la altitud y los aspectos topográficos tienen una fuerte influencia en la vegetación cobertura. Las altitudes entre 4500 y 4800 my los aspectos sombreados proporcionan ambientes más favorables para el crecimiento de la vegetación. Los datos muestran un mayor crecimiento de la vegetación dentro del rango de temperatura de 4.5-5.5 Â° C. El crecimiento de la vegetación generalmente aumenta con la precipitación. Sin embargo, a elevaciones más altas de 4800-5200 m, a pesar de las altas tasas de precipitación, las temperaturas más bajas restringen el crecimiento. Las condiciones locales de hidrología influyen directamente en las variaciones de la vegetación. La degradación de la vegetación aumenta con la distancia desde los límites de las aguas superficiales hasta 4 km, pero el agua subterránea puede servir como una fuente confiable para evitar que la vegetación se degrade. Finalmente, descubrimos que el porcentaje de degradación disminuye al aumentar la distancia desde los loci residenciales hasta 24 km, lo que sugiere que el pastoreo excesivo puede ser la causa principal de la degradación localizada de la vegetación. Los resultados de este estudio pueden tener una amplia implicación en la evaluación de la variación de la vegetación y la restauración de los pastizales.","Characteristics and causes of vegetation variation in the source regions of the Yellow River, China","The eco-environment in the source region of the Yellow River in western China has been experiencing deterioration in the past decades. Vegetation affected by climate variables and anthropogenic activities is indicative of eco-environment well-being. To quantify temporal and spatial variations of vegetation coverage and analyse potential causes for the variations, we analysed the normalized difference vegetation index (NDVI), temperature and precipitation data from 2000 to 2007. We found that altitude and topographic aspects have a strong influence on vegetation coverage. Altitudes between 4500 and 4800 m and shady aspects provide more favourable environments for vegetation growth. Data show stronger vegetation growth within the temperature range of 4.5-5.5Â°C. Vegetation growth generally increases with precipitation. At higher elevations of 4800-5200 m, however, despite high precipitation rates, lower temperatures restrict growth. Local hydrology conditions are found to directly influence vegetation variations. Vegetation degradation increases with distance from surface water boundaries up to 4 km, but groundwater might serve as a reliable source for preventing vegetation from degrading. Finally, we found that the percentage of degradation decreases with increasing distance from residential loci up to 24 km, which suggests that overgrazing can be a lead cause for localized vegetation degradation. Findings of this study may have a broad implication in assessing vegetation variation and grassland restoration.",,,,,
154,#C73,0,1,2,Observaciones de las propiedades fractales de los patrones de temperatura de la superficie del mar de Japón,"Este artículo se refiere a la autosimilitud de los patrones de temperatura de la superficie del mar (SST). Este estudio se basa en el análisis de las imágenes infrarrojas NOAA AVHRR del norte del Mar de Japón desde abril de 1990. Los cálculos de las longitudes de isotermas proporcionan evidencia experimental de las propiedades fractales de los patrones de TSM como trazadores de la turbulencia de mesoescala del mar. Se encuentra que la dimensión fractal de las isotermas es 1-27 Â± 0-07 para escalas espaciales de al menos 4 km a aproximadamente 120 km. Este valor está completamente de acuerdo con el de las trayectorias de boyas a la deriva en la extensión de Kuroshio. La estimación de secuencias de los exponentes de masa muestra que los patrones de temperatura de la superficie del mar exhiben un comportamiento monofractal en lugar de multifractal. La consideración de la serie de imágenes infrarrojas NOAA AVHRR revela estructuras turbulentas auto-similares: las cadenas de vórtices que consisten en pares de vórtices y remolinos anticiclónicos. Tales jerarquías de estos vórtices, cuyo tamaño horizontal crece de varios kilómetros a aproximadamente 100 km, existen durante al menos 20 días. Se discute su evolución y posible mecanismo de formación.",Observations of the fractal properties of the Japan Sea surface temperature patterns,"This article concerns the self-similarity of sea surface temperature (SST) patterns. This study is based upon analysis of the NOAA AVHRR infrared images of the northern Japan Sea from April 1990. Calculations of isotherms lengths provide experimental evidence of the fractal properties of the SST patterns as tracers of the sea mesoscale turbulence. The isotherms fractal dimension is found to be 1-27 Â± 0-07 for space scales from at least 4 km to approximately 120 km. This value is in complete agreement with that of drifting buoys trajectories in the Kuroshio extension. Estimation of sequences of the mass exponents shows that the sea surface temperature patterns exhibit monofractal rather than multifractal behaviour. Consideration of the series of the NOAA AVHRR infrared images reveals self-similar turbulent structures-the chains of vortices consisting of vortex pairs and anticyclonic eddies. Such hierarchies of these vortices, whose horizontal size grows from several kilometers to approximately 100 km, exist for at least 20 days. Their evolution and possible mechanism of formation are discussed.",,,,,
155,#C74,2,3,0,Estimación y análisis de la fuente de la concentración de PM2.5 en la superficie en la región Beijing-Tianjin-Hebei basada en datos MODIS y trayectorias aéreas,"La materia particulada (PM) con un diámetro aerodinámico de & lt; 2.5 Î¼m (PM2.5) se ha convertido en el principal contaminante del aire en la mayoría de las principales ciudades de China. Algunos estudios han indicado que existe una correlación positiva entre el espesor óptico del aerosol (AOT) y la concentración de PM2.5 a nivel de superficie. Para estimar la concentración de PM2.5 en grandes áreas, se ha establecido un modelo que relaciona la concentración de PM2.5 y AOT. La altura de la escala del aerosol y la humedad relativa, así como el efecto de la temperatura de la superficie y la velocidad del viento se introdujeron para mejorar el modelo. Los datos de AOT del espectroradiómetro de imagen de resolución moderada (MODIS) de 2013 completo y las mediciones de tierra de la concentración de PM2.5 en la región Beijing-Tianjin-Hebei se utilizaron para ajustar una ecuación lineal multivariada estacional que relaciona la concentración de PM2.5 y AOT, y la precisión de El modelo ha sido determinado. Al comparar el PM2.5 estimado por MODIS con las mediciones de las estaciones de monitoreo en tierra durante la primavera, verano, otoño e invierno, encontramos que los valores de R2 fueron 0.45, 0.45, 0.37 y 0.31, respectivamente. Con base en este modelo, se obtuvo la distribución espacial de la concentración de PM2.5 durante cuatro eventos de neblina típicos muestreados por temporadas, y se mostró con las trayectorias de aire hacia atrás calculadas usando el modelo de trayectoria integrada lagrangiana de partículas individuales híbridas (HYSPLIT). Realizamos un análisis preliminar sobre la fuente de PM a nivel de superficie y el proceso de su acumulación y dispersión durante los episodios de neblina mediante el análisis del efecto del terreno y la topografía en la ubicación específica de la región Beijing-Tianjin-Hebei. La distribución espacial de la concentración de PM2.5 mostró que la región de alto valor estaba generalmente en el sureste del área de estudio, lo que superpuso aproximadamente un área de cobertura vegetal más baja, y la variación temporal de la concentración de PM2.5 indicó que la contaminación del aire era más grave durante el invierno y la primavera que el verano y el otoño. Los resultados del análisis de las trayectorias aéreas atrasadas sugirieron que el clima brumoso en la región Beijing-Tianjin-Hebei fue causado principalmente por terrenos y condiciones climáticas desfavorables.",Estimating and source analysis of surface PM2.5 concentration in the Beijingâ€“Tianjinâ€“Hebei region based on MODIS data and air trajectories,"Particulate matter (PM) with an aerodynamic diameter of &lt;2.5Â Î¼m (PM2.5) has become the primary air pollutant in most major cities in China. Some studies have indicated that there is a positive correlation between the aerosol optical thickness (AOT) and surface-level PM2.5 concentration. In order to estimate PM2.5 concentration over large areas, a model relating the concentration of PM2.5 and AOT has been established. The scale height of aerosol and relative humidity as well as the effect of surface temperature and wind velocity were introduced to enhance the model. 2013 full year Moderate Resolution Imaging Spectroradiometer (MODIS) AOT data and ground measurements of the PM2.5 concentration in the Beijingâ€“Tianjinâ€“Hebei region were used to fit a seasonal multivariate linear equation relating PM2.5 concentration and AOT, and the accuracy of the model has been determined. When comparing MODIS-estimated PM2.5 with the measurements from ground monitoring stations during spring, summer, autumn and winter, we found the R2 values were 0.45, 0.45, 0.37, and 0.31, respectively. Based on this model, the spatial distribution of PM2.5 concentration during four typical haze events sampled by seasons was derived, and displayed with the backward air trajectories calculated using the Hybrid Single Particle Lagrangian Integrated Trajectory (HYSPLIT) model. We undertook a preliminary analysis about the source of surface-level PMs and the process of its accumulation and dispersion during the haze episodes by analysing the effect of terrain and topography in the specific location of the Beijingâ€“Tianjinâ€“Hebei region. The spatial distribution of the PM2.5 concentration showed that the high value region was generally in the southeast of the study area, which approximately overlapped an area of lower vegetation coverage, and the temporal variation of PM2.5 concentration indicated that the air pollution was more severe during winter and spring than summer and autumn. The results of the analysis of backward air trajectories suggested that the hazy weather in the Beijingâ€“Tianjinâ€“Hebei region was mainly caused by unfavourable terrain and weather conditions.",,,,,
