Authors;Author(s) ID;Title;Year;Source title;Volume;Issue;Art. No.;Page start;Page end;Page count;Cited by;DOI;Link;Affiliations;Authors with affiliations;Abstract;Author Keywords;Index Keywords;Document Type;Publication Stage;Access Type;Source;EID;label
Sorrell P.E.;"6603168675;";British cartographic society: Technical seminar dillington house, ilminster, somerset;1973;Cartographic Journal;10;1;;9;12;;;10.1179/caj.1973.10.1.9;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974904997&doi=10.1179%2fcaj.1973.10.1.9&partnerID=40&md5=21e20e77c02d1e39259426ddc03a73a3;;Sorrell, P.E.;[No abstract available];;;Note;Final;;Scopus;2-s2.0-84974904997;1
Lo C.P.;"7401771576;";Cartographic presentation of threedimensional urban information;1973;Cartographic Journal;10;2;;77;84;;;10.1179/caj.1973.10.2.77;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974892903&doi=10.1179%2fcaj.1973.10.2.77&partnerID=40&md5=29a180a4fceed1fbf4f3088a6140df8e;Department of Geography and Geology, University of Hong Kong, Hong Kong;Lo, C.P., Department of Geography and Geology, University of Hong Kong, Hong Kong;This paper describes two methods whereby the three-dimensional information relating to the forms and functions of buildings in the dty can be presented cartographically. The first method involves the use of the parallel perspective projection produced by coupling a photogrammetric plotter with the Perspektomat P-40 for the construction of three dimensional urban maps directly from aerial photographs. The second method involves the mapping of land use for each floor of the building on separate, stable transparent plastic sheets by means of pre-printed stick-on geometric patterns. By overlapping one sheet on top of the other, a superimposed pattern map of urban land use is produced. The advantages and disadvantages of these two methods are discussed and the significance of these methods to urban geographers and town planners is examined. © 1973 British Cartographic Society.;;;Article;Final;;Scopus;2-s2.0-84974892903;1
Crawford P.V.;"57000805600;";The perception of graduated squares as cartographic symbols;1973;Cartographic Journal;10;2;;85;88;;14;10.1179/caj.1973.10.2.85;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974883979&doi=10.1179%2fcaj.1973.10.2.85&partnerID=40&md5=4bde87d8d05fe53b703a84cdf7716d2a;Bowling Green State University, OH, United States;Crawford, P.V., Bowling Green State University, OH, United States;This study is an analysis of the average map reader's perception of the relative magnitude of graduated square symbols designed for small scale thematic maps. Two hypotheses are tested. First, that the relative size (area) differences of graduated squares are judged on the basis of area, rather than on the basis of a linear dimension. Second, that the relative magnitudes are estimated accurately. The results of the research positively support the above assumptions. © 1973 British Cartographic Society.;;;Article;Final;;Scopus;2-s2.0-84974883979;1
Bond B.A.;"57189724277;";Cartographic source material and its evaluation;1973;Cartographic Journal;10;1;;54;58;;1;10.1179/caj.1973.10.1.54;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969108342&doi=10.1179%2fcaj.1973.10.1.54&partnerID=40&md5=c4a3362507e18a479805362a1d55aee6;Military Surveys, London, United Kingdom;Bond, B.A., Military Surveys, London, United Kingdom;This paper, presented at the Society’s Annual Technical Symposium, held at Cambridge in September 1972 looks at the two main problems faced by the map analyst, namely the availability of source material and an assessment of its reliability. Examples of some of the many problems en­countered are given. © 1973 The British Cartographic Society.;;;Article;Final;;Scopus;2-s2.0-84969108342;1
Baxter R.S., Shah B.B.;"7202066048;57189721931;";Gino-A general purpose graphics system for cartography;1973;Cartographic Journal;10;2;;99;104;;4;10.1179/caj.1973.10.2.99;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84918959686&doi=10.1179%2fcaj.1973.10.2.99&partnerID=40&md5=66b8652b6e20baacce969515c579c965;"Centre for Land Use and Built Form Studies, University of Cambridge, United Kingdom; Computer Aided Design Centre, Cambridge, United Kingdom";"Baxter, R.S., Centre for Land Use and Built Form Studies, University of Cambridge, United Kingdom; Shah, B.B., Computer Aided Design Centre, Cambridge, United Kingdom";One of the main features of much of the work on automated cartography to date is the dependence of much of the software on the available hardware. GINO consists of a library of sub-routines which enable the user to generate displays on a wide range of hardware. This paper illustrates some of the possibilities of the system in the field of digital mapping. © 1973 British Cartographic Society.;;;Article;Final;;Scopus;2-s2.0-84918959686;1
Cuff D.J.;"56910467400;";Colour on temperature maps;1973;Cartographic Journal;10;1;;17;21;;27;10.1179/caj.1973.10.1.17;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002997676&doi=10.1179%2fcaj.1973.10.1.17&partnerID=40&md5=8829a1e7e0c5bcd4a14819baf13844bf;Temple University, Philadelphia, PA, United States;Cuff, D.J., Temple University, Philadelphia, PA, United States;Students’ reactions to three, coloured, test maps portraying temperature regions provide information vital to design of such maps for atlases and textbooks. A map using progressively lighter shades of red waS most effective in conveying the concept of areas of greater and lesser temperatures to most students. A map similarly shaded in only blue colours was almost as effective, despite the supposed association of blue with coolness. The third map, using shades of both red and blue was least effective. These preliminary results demonstrate that the quantitative message inherent in a progression of darkness and saturation is far more potent than the warm and cool association known to reside in red and blue hues. Design of maps according to a general and quantitative approach is indicated, even for map themes which may be linked qualitatively to certain hues. © 1973 The British Cartographic Society.;;;Article;Final;;Scopus;2-s2.0-0002997676;1
Eyles V.A.;"6507904763;";Mineralogical maps as forerunners of modern geological maps;1972;Cartographic Journal;9;2;;133;135;;5;10.1179/caj.1972.9.2.133;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975026939&doi=10.1179%2fcaj.1972.9.2.133&partnerID=40&md5=4dea54a9e2d12cc2ade837640179d274;Great Rissington, Gloucestershire, United Kingdom;Eyles, V.A., Great Rissington, Gloucestershire, United Kingdom;[No abstract available];;;Article;Final;;Scopus;2-s2.0-84975026939;1
Kadmon N.;"7801568742;";Automated selection of settlements in map generalisation;1972;Cartographic Journal;9;2;;93;98;;12;10.1179/caj.1972.9.2.93;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975024541&doi=10.1179%2fcaj.1972.9.2.93&partnerID=40&md5=df31ba0fdd446df9fd3bb074e5eefdc1;Survey of Israel, Tel-Aviv, Israel;Kadmon, N., Survey of Israel, Tel-Aviv, Israel;In the field, of automated cartography the cartographic data bank is occupying an increasingly more prominent position. Within such data banks settlements occupy an important position and this paper discusses ways in which the automated selection of settlements may be achieved according to a number of varying criteria, each of which may or may not be included in the selection program. © 1972 Maney Publishing.;;;Article;Final;;Scopus;2-s2.0-84975024541;1
Beckett P.H.T., Tomlinson P.R., Bie S.W.;"7005369346;16518852600;6602083736;";Map quality: The second st. cross seminar, Oxford, 1971;1972;Cartographic Journal;9;2;;80;81;;;10.1179/caj.1972.9.2.80;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974958153&doi=10.1179%2fcaj.1972.9.2.80&partnerID=40&md5=9aae3ce40965e1f6dd0075dd9b936e4b;University of Oxford, United Kingdom;"Beckett, P.H.T., University of Oxford, United Kingdom; Tomlinson, P.R., University of Oxford, United Kingdom; Bie, S.W., University of Oxford, United Kingdom";[No abstract available];;;Article;Final;;Scopus;2-s2.0-84974958153;1
Breward R.W.;"57189724624;";A mathematical approach to the storage of digitised contours;1972;Cartographic Journal;9;2;;82;86;;2;10.1179/caj.1972.9.2.82;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974940025&doi=10.1179%2fcaj.1972.9.2.82&partnerID=40&md5=d57714eb25da595e2c3ebcf208216e80;Mapping and Charting Establishment (RE), Feltham, United Kingdom;Breward, R.W., Mapping and Charting Establishment (RE), Feltham, United Kingdom;The increasing use of digitised data, especially contours, is creating problems of storage in the smaller computers. Efforts made to make digitised contour information more compact for use in a data bank are described which can produce savings in storage requirements of up to 85 per cent. © 1972 Maney Publishing.;;;Article;Final;;Scopus;2-s2.0-84974940025;1
Loveless W.C.;"57189722086;";Visit to school of military survey;1972;Cartographic Journal;9;2;;77;;;;10.1179/caj.1972.9.2.77;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974904205&doi=10.1179%2fcaj.1972.9.2.77&partnerID=40&md5=4333c30a83530e3a7b6e9214fc6281f8;;Loveless, W.C.;[No abstract available];;;Article;Final;;Scopus;2-s2.0-84974904205;1
O’Brien C.I.M.;"57189724364;";International cartographic association technical conference montreal/ottawa 1972;1972;Cartographic Journal;9;2;;78;79;;;10.1179/caj.1972.9.2.78;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974904175&doi=10.1179%2fcaj.1972.9.2.78&partnerID=40&md5=3c2372d593c84fa92f4efde0071ef295;;O’Brien, C.I.M.;[No abstract available];;;Article;Final;;Scopus;2-s2.0-84974904175;1
Wood M.;"25123434100;";Human factors in cartographic communication;1972;Cartographic Journal;9;2;;123;132;;22;10.1179/caj.1972.9.2.123;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974883700&doi=10.1179%2fcaj.1972.9.2.123&partnerID=40&md5=157617f2b5a46b8d7a4cc849485e493b;University of Aberdeen, United Kingdom;Wood, M., University of Aberdeen, United Kingdom;Cartographic communication involves the makers and the users of maps. Cartographers are constantly striving to produce better maps, through more carefully composed ‘messages' and more easily decipherable symbolism. Many maps already fulfil most of the requirements of functional efficiency, making them ‘good' in a communication sense, but a breakdown in communication often occurs. Map users misuse, misunderstand and mistake the reliability of maps, and are therefore frequently responsible for this breakdown. Techniques of ‘consumer research' and human factors' analysis currently being employed to provide for improved maps, are examined and evidence is found which supports this indictment. Finally possible remedies, particularly in the field of education, are indicated. © 1972 Maney Publishing.;;;Article;Final;;Scopus;2-s2.0-84974883700;1
McCullagh M.J., Sampson R.J.;"7006163312;57216596597;";User desires and graphics capability in the academic environment;1972;Cartographic Journal;9;2;;109;122;;3;10.1179/caj.1972.9.2.109;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974883699&doi=10.1179%2fcaj.1972.9.2.109&partnerID=40&md5=590fb1ba647edb9a6c2c40c372c7681d;"Department of Geography, Kansas Geological Survey, The University of Kansas, Lawrence, KS, United States; Kansas geoligical survey, The University of Kansas, Lawrence, KS, United States";"McCullagh, M.J., Department of Geography, Kansas Geological Survey, The University of Kansas, Lawrence, KS, United States; Sampson, R.J., Kansas geoligical survey, The University of Kansas, Lawrence, KS, United States";This paper is an attempt to determine the average geography academic's needs in relation to his research requirements and computing knowledge in automated map production. Usually he will not be attempting to produce a final map, but probably only one to enable him to analyse his data with more accuracy. An outline is given o-what the user can expect from a plotting system, and also what he will have to know to benefit from the results produced. The problem of contouring is taken as a demonstration of the difficulties involved. Examples are given to show that no computer contour map can be considered objective, and that the results produced are determined by the contouring method employed combined with the skill of the user. © 1972 Maney Publishing.;;;Article;Final;;Scopus;2-s2.0-84974883699;1
Welch R.;"7201912680;";Photomap image quality;1972;Cartographic Journal;9;2;;87;92;;2;10.1179/caj.1972.9.2.87;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84910157153&doi=10.1179%2fcaj.1972.9.2.87&partnerID=40&md5=6c7666f94e2e777914c27ca0852af3d4;University of Georgia, Athens, GA, United States;Welch, R., University of Georgia, Athens, GA, United States;Both image and photomap scales are being reduced and consequently the retention of detail in the cartographic process becomes increasingly difficult. It is suggested, therefore, that a systematic method based on Modulation Transfer Function (MTF) theory may be of value for evaluating the transfer of detail when planning map products. In order to maximise photomap detail the original photograph should be enlarged to a point where the MTF of the enlargement will not degrade the printing MTF. As the printing process is often limited by the method of screening the image, screening techniques which result in the retention of spatial frequencies to beyond 5 ljmm are required. Based on theoretical analyses of different types of imagery, enlargement factors of 4 to 8x for high-altitude aerial photography, less than lx for ERTS A imagery and from 10 to 20x for SKY LAB photographs will result in quality photomap products, provided suitable printing techniques are employed. © 1972 Maney Publishing.;;;Article;Final;;Scopus;2-s2.0-84910157153;1
Hall B.;"57189720930;";Further study of a computer­generated indexing technique;1972;Cartographic Journal;9;1;;8;13;;;10.1179/caj.1972.9.1.8;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975027328&doi=10.1179%2fcaj.1972.9.1.8&partnerID=40&md5=8e1b589185eb71317660650ad9c7493a;;Hall, B.;A cumulative index has now been completed for the first eight volumes of the Cartographic Journal. This paper describes the system used to produce this index and shows how it was developed out of the earlier system described in the December 1970 issue of the Journal. © 1972 Maney Publishing.;;;Article;Final;;Scopus;2-s2.0-84975027328;1
Collier H.;"57189722599;";A short history of ordnance survey contouring with particular reference to scotland;1972;Cartographic Journal;9;1;;55;58;;2;10.1179/caj.1972.9.1.55;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975021173&doi=10.1179%2fcaj.1972.9.1.55&partnerID=40&md5=b2ad1270678a9e13c8f8f57e4f204f4f;George Philip and Sons Ltd., London, United Kingdom;Collier, H., George Philip and Sons Ltd., London, United Kingdom;This paper discusses early methods of contouring by the O.S., particularly in Scotland. Attention is paid to the methods of contouring and their accuracy and cost. It is clear that the modern O.S. maps produced photogrammetrically represent a considerable advance. © 1972 Maney Publishing.;;;Article;Final;;Scopus;2-s2.0-84975021173;1
Carmichael L.D.;"57189725451;";Cartographic depiction of land resources information;1972;Cartographic Journal;9;1;;52;54;;;10.1179/caj.1972.9.1.52;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975019593&doi=10.1179%2fcaj.1972.9.1.52&partnerID=40&md5=7683e071a024b3b5a4f586a564634dcf;Overseas Surveys, Tolworth, United Kingdom;Carmichael, L.D., Overseas Surveys, Tolworth, United Kingdom;Up to the present time maps showing land resources infor­mation have tended to develop with insufficient attention being paid to the cartographic problems involved. The author suggests that it is time the cartographer played a greater part in the design of such maps. © 1972 Maney Publishing.;;;Article;Final;;Scopus;2-s2.0-84975019593;1
Mumford I.;"6506443061;";Lithography, photography and photozincography in english map production before 1870;1972;Cartographic Journal;9;1;;30;36;;2;10.1179/caj.1972.9.1.30;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975016524&doi=10.1179%2fcaj.1972.9.1.30&partnerID=40&md5=da4717d484138d87791b71bb8497535a;;Mumford, I.;At the Society's Annual Symposium held in Edinburgh in September 1971, the author read a version of the following paper. A number of technical and scientific topics relevant to the history of English cartographic reproduction in the earlier part of the nineteenth century are brought together in a broader historical context in the hope that more detailed studies in this neglected field will be undertaken. © 1972 Maney Publishing.;;;Article;Final;;Scopus;2-s2.0-84975016524;1
Delucia A.;"7004562912;";The effect of shaded relief on map information accessibility;1972;Cartographic Journal;9;1;;14;18;;10;10.1179/caj.1972.9.1.14;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975016522&doi=10.1179%2fcaj.1972.9.1.14&partnerID=40&md5=a9e7638582e4689d69bf9c16bfab06e0;University of Washington, Seattle, WA, United States;Delucia, A., University of Washington, Seattle, WA, United States;Two experiments were conducted to measure the effect of shaded relief on map reading performance. The specific hypothesis being tested in both experiments was as follows: That the use of the shaded relief technique of terrain representation decreases the legibility of all other symbols appearing on the map thereby making the information represented by those symbols less accessible to the map reader. This results in a significant increase in the time necessary to extract required elements of non-terrain information from the map. Results of the initial experiment confirmed this hypothesis. A replication experiment found a statistically insignificant difference between the two versions of the test map. © 1972 Maney Publishing.;;;Article;Final;;Scopus;2-s2.0-84975016522;1
[No author name available];[No author id available];Editorial;1972;Cartographic Journal;9;1;;4;;;;10.1179/caj.1972.9.1.4;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975016299&doi=10.1179%2fcaj.1972.9.1.4&partnerID=40&md5=7cc79b240591afc5261e06657fb297e2;;;[No abstract available];;;Editorial;Final;;Scopus;2-s2.0-84975016299;1
Macgregor D.R.;"56930113400;";New degree courses in cartography university of edinburgh;1972;Cartographic Journal;9;1;;6;7;;1;10.1179/caj.1972.9.1.6;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975012633&doi=10.1179%2fcaj.1972.9.1.6&partnerID=40&md5=56d2dc6080802471a7af02ec194ced1f;;Macgregor, D.R.;[No abstract available];;;Article;Final;;Scopus;2-s2.0-84975012633;1
Bateman C.;"57189725027;";Computer controlled drawing of hydrographic charts;1972;Cartographic Journal;9;1;;59;65;;;10.1179/caj.1972.9.1.59;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974992864&doi=10.1179%2fcaj.1972.9.1.59&partnerID=40&md5=5df1c9a66956f8f386e77fd36cd1d7c0;Department of Geography, University of Glasgow, Glasgow, United Kingdom;Bateman, C., Department of Geography, University of Glasgow, Glasgow, United Kingdom;This paper describes a system of programs designed to automate the drawing of hydrographic charts directly from the raw survey data. Provision is made for intervention by the carto-grapher at critical stages so that the specification of the final product may be controlled. A consistent approach to the selection of critical data is formulated using universally applied criteria. The ease of selecting various scales and degrees of generalisation for replotting according to changing requirements is an important feature. © 1972 Maney Publishing.;;;Article;Final;;Scopus;2-s2.0-84974992864;1
Thrower N.J.W.;"6506265226;";Cadastral survey and county atlases of the united states;1972;Cartographic Journal;9;1;;43;51;;2;10.1179/caj.1972.9.1.43;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974967302&doi=10.1179%2fcaj.1972.9.1.43&partnerID=40&md5=8cc6e76a0364c00cfe8a3de008d82959;University of California, Los Angeles, United States;Thrower, N.J.W., University of California, Los Angeles, United States;During the 75 years following the Revolutionary War the United States acquired its present continental-sized territory. To facilitate settlement of this vast area the rectangular United States Public Land Survey was employed. This contrasts with various unsystematic property surveys used in former colonial areas of America. Official cadastral maps of townships and counties were supplemented by those contained in privately produced county atlases in the second half of the nineteenth century. The character, contents and coverage of these county atlases which have survived, while cadastral maps on which they were based frequently have not, are discussed in this paper. © 1972 Maney Publishing.;;;Article;Final;;Scopus;2-s2.0-84974967302;1
Ristow W.W.;"7003788134;";The anastatic process in map reproduction;1972;Cartographic Journal;9;1;;37;42;;1;10.1179/caj.1972.9.1.37;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864211451&doi=10.1179%2fcaj.1972.9.1.37&partnerID=40&md5=345a80e2188c6118c26961788f48a5ef;Library of Congress, Washington, DC, United States;Ristow, W.W., Library of Congress, Washington, DC, United States;Commencing in 1840 with the invention of anastatic printing by Baldamus in Germany, the development of the anastatic process, particularly in Britain and, to a lesser degree, in the United States is examined. Although the process created a considerable impact in its early days it never fulfilled its early promise.This paper was presented at the Society's Annual Technical Symposium held in Edinburgh in September 1971. © 1972 Maney Publishing.;;;Article;Final;;Scopus;2-s2.0-84864211451;1
Dixon O.M.;"6603810335;";Methods and progress in choropleth mapping of population density;1972;Cartographic Journal;9;1;;19;29;;7;10.1179/caj.1972.9.1.19;https://www.scopus.com/inward/record.uri?eid=2-s2.0-28344444459&doi=10.1179%2fcaj.1972.9.1.19&partnerID=40&md5=794eeb532375fadaa522f8e5b6bf0c1a;Department of Geography, Portsmouth Polytechnic, United Kingdom;Dixon, O.M., Department of Geography, Portsmouth Polytechnic, United Kingdom;This paper reviews the methods and weaknesses of choropleth mapping with particular reference to the mapping of population density. Various modifications are described and the possibilities of automation are discussed, with examples. © 1972 Maney Publishing.;;;Article;Final;;Scopus;2-s2.0-28344444459;1
Sheppard D., Adams J.M.;"57189718256;57189721251;";A survey of drivers’ opinions on maps for route finding;1971;Cartographic Journal;8;2;;105;114;;11;10.1179/000870471786934132;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975026957&doi=10.1179%2f000870471786934132&partnerID=40&md5=af4f64c8319f23204c2ad507fd41fcef;"Road Research Laboratory, Crowthorne, United Kingdom; Experimental Cartography Unit, Royal College of Art, London, United Kingdom";"Sheppard, D., Road Research Laboratory, Crowthorne, United Kingdom; Adams, J.M., Experimental Cartography Unit, Royal College of Art, London, United Kingdom";A questionnaire to 128 drivers included map reading tasks using inch to 1 mile maps produced by Philips (Shell Motoring Maps) and by the Ordnance Survey, followed by questions about which of the two maps was preferred and about the features required in a road map. © 1971 The British Cartographic Society.;;;Article;Final;;Scopus;2-s2.0-84975026957;1
Aylward J.;"57189718344;";The retail distribution of ordnance survey maps and plans in the latter half of the nineteenth century—A map Seller’s view;1971;Cartographic Journal;8;1;;55;58;;;10.1179/caj.1971.8.1.55;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975025790&doi=10.1179%2fcaj.1971.8.1.55&partnerID=40&md5=c5ce17f2a187b32d8cdf1225fa5ff825;Serck Services, Birmingham, United Kingdom;Aylward, J., Serck Services, Birmingham, United Kingdom;This paper describes the problems faced by map sellers, particularly Stanford’s, in the last century in the retail distribution of Ordnance Survey maps and plans. © 1971 British Cartographic Society.;;;Article;Final;;Scopus;2-s2.0-84975025790;1
Pielou F.A.;"6506877717;";Special purpose navigation charts;1971;Cartographic Journal;8;1;;21;29;;;10.1179/caj.1971.8.1.21;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975020761&doi=10.1179%2fcaj.1971.8.1.21&partnerID=40&md5=fea7b617b75649363291d11db696145d;Hydographic Department, Taunton, United States;Pielou, F.A., Hydographic Department, Taunton, United States;The range of charts produced by the Hydrographic Department, other than the standard Admiralty Chart, is examined, with particular reference to charts for hovercraft. The demand for such charts creates special production problems. © 1971 British Cartographic Society.;;;Article;Final;;Scopus;2-s2.0-84975020761;1
Morrison A.;"57196692372;";Experimental maps of road travel speed;1971;Cartographic Journal;8;2;;115;136;;7;10.1179/caj.1971.8.2.115;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975015240&doi=10.1179%2fcaj.1971.8.2.115&partnerID=40&md5=f540248b7e633585c88b6ea18f4044e5;Department of Geography, The University of Glasgow, United Kingdom;Morrison, A., Department of Geography, The University of Glasgow, United Kingdom;The ideas behind road travel speed maps and the problems involved in designing such maps are described in detail. The author looks forward to the day when such maps might be regarded as ‘conventional road maps' enabling the road user to base his choice of route for a particular journey on more information than is currently available. © 1971 The British Cartographic Society.;;;Article;Final;;Scopus;2-s2.0-84975015240;1
Ritchie R.A.G.S.;"57189721320;";The work of the hydrographic department;1971;Cartographic Journal;8;1;;9;12;;;10.1179/caj.1971.8.1.9;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975013113&doi=10.1179%2fcaj.1971.8.1.9&partnerID=40&md5=f8ce23631555109b7c3a9122116577aa;Hydrographic Department, Taunton, United States;Ritchie, R.A.G.S., Hydrographic Department, Taunton, United States;[No abstract available];;;Article;Final;;Scopus;2-s2.0-84975013113;1
Robinson A.H.;"56929827300;";The genealogy of the isopleth;1971;Cartographic Journal;8;1;;49;53;;16;10.1179/caj.1971.8.1.49;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975012821&doi=10.1179%2fcaj.1971.8.1.49&partnerID=40&md5=61075ebb5184e08ae45278e726f5dddd;University of Wisconsin, Madison, United States;Robinson, A.H., University of Wisconsin, Madison, United States;Defining isometric lines as those portraying basic numerical distributions and isopleths as portraying values, this paper traces the growth of the ‘iso’ family from the use of the isobath in 1584, through other members of the isometric family to the conception of the isopleth in 1845, its birth in 1857, and its christening in 1859. © 1971 British Cartographic Society.;;;Article;Final;;Scopus;2-s2.0-84975012821;1
Rhind D.W.;"57198141441;";Automated contouring—an empirical evaluation of some differing techniques;1971;Cartographic Journal;8;2;;145;158;;13;10.1179/caj.1971.8.2.145;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974993017&doi=10.1179%2fcaj.1971.8.2.145&partnerID=40&md5=61e424a6185c030df63875eeea60096d;Experimental Cartography Unit, Royal College of Art, London, United Kingdom;Rhind, D.W., Experimental Cartography Unit, Royal College of Art, London, United Kingdom;Three automated contouring programs have been utilised on the same data and their relative advantages and deficiencies are discussed under a number of headings. Desirable changes to these programs and the necessary capabilities of ‘third generation’ contouring programs are suggested. © 1971 The British Cartographic Society.;;;Article;Final;;Scopus;2-s2.0-84974993017;1
Kingsland F.H.;"57189718611;";The hydrographic department chairman’s introductory remarks;1971;Cartographic Journal;8;1;;8;;;;10.1179/caj.1971.8.1.8;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974992802&doi=10.1179%2fcaj.1971.8.1.8&partnerID=40&md5=5bf0c008d45699563ec1a64355d86430;Hydrographic Department, Taunton, United States;Kingsland, F.H., Hydrographic Department, Taunton, United States;[No abstract available];;;Article;Final;;Scopus;2-s2.0-84974992802;1
Gardiner B.R.A., Fullard H.;"57189718509;6505952791;";National qualifications in cartography;1971;Cartographic Journal;8;1;;67;72;;1;10.1179/caj.1971.8.1.67;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974979553&doi=10.1179%2fcaj.1971.8.1.67&partnerID=40&md5=344afda5da90c281f8bd7c96da9a97e3;Cartography and Planning, United Kingdom;"Gardiner, B.R.A.; Fullard, H., Cartography and Planning, United Kingdom";This note introduces the guide syllabus and curriculum for the H.N.C. courses in Surveying, Cartography and Planning which follow. © 1971 British Cartographic Society.;;;Article;Final;;Scopus;2-s2.0-84974979553;1
Newson D.W.;"7004545943;";The general bathymetric chart of the oceans—seventy years of international cartographic co-operation;1971;Cartographic Journal;8;1;;39;47;;;10.1179/caj.1971.8.1.39;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974965180&doi=10.1179%2fcaj.1971.8.1.39&partnerID=40&md5=85e4b4425e3520b06bd6f067249b0a6f;Hydrographic Department, Taunton, United States;Newson, D.W., Hydrographic Department, Taunton, United States;The General Bathymetric Chart of the Oceans (GEBCO) is a successful example of international cartographic co-operation. It originated in the last year of the nineteenth century, and its fourth edition is in course of publication. This paper traces the development of the series, in terms both of its cartography and of the organisation of its production. © 1971 British Cartographic Society.;;;Article;Final;;Scopus;2-s2.0-84974965180;1
Kadmon N.;"7801568742;";KOMPLOT “do-it-yourself” computer cartography;1971;Cartographic Journal;8;2;;139;144;;6;10.1179/caj.1971.8.2.139;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974958910&doi=10.1179%2fcaj.1971.8.2.139&partnerID=40&md5=4ce602f32effa2a20523d23e67790c16;Survey of Israel, University College of Swansea, United Kingdom;Kadmon, N., Survey of Israel, University College of Swansea, United Kingdom;After describing the changes which program packages, such as SYMAP, can make to the production of thematic maps the author briefly considers the aesthetics of computer graphics. The simplicity and versatility of KOMPLOT are then discussed with the aim of bringing computer aided cartography to a wider field of users. © 1971 The British Cartographic Society.;;;Article;Final;;Scopus;2-s2.0-84974958910;1
Irwin M.S.G.;"57189720477;";Developments in automated cartography at the ordnance survey;1971;Cartographic Journal;8;2;;133;138;;1;10.1179/caj.1971.8.2.133;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974940018&doi=10.1179%2fcaj.1971.8.2.133&partnerID=40&md5=4aeda67ef9ebbad34491e87ee1170d0a;Ordnance Survey, Southampton, United Kingdom;Irwin, M.S.G., Ordnance Survey, Southampton, United Kingdom;The paper outlines the relevant principles of automated cartography, and considers the problems faced by the Ordnance Survey in applying them to its own operations. An account is given of the Bideford Area Experiment, carried out in conjunction with the Experimental Cartography Unit of the Royal College of Art, London, in which maps have been digitised at a large scale and draughted out at several smaller scales. The equipment in use at the Ordnance Survey is described, together with tests devised to monitor equipment accuracy. Reference is made to new investigations currently in hand, to assess the feasibility of selling digitised map data as a product in its own right. © 1971 The British Cartographic Society.;;;Article;Final;;Scopus;2-s2.0-84974940018;1
Boud R.C.;"6507438071;";Geological cartography in the undergraduate curriculum;1971;Cartographic Journal;8;2;;159;167;;2;10.1179/caj.1971.8.2.159;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974923977&doi=10.1179%2fcaj.1971.8.2.159&partnerID=40&md5=2a00c03e50b00c3921eb99c861e430cd;University of Leeds, United Kingdom;Boud, R.C., University of Leeds, United Kingdom;For many years geological students have been graduating from universities with little knowledge of how to use the cartographic language of line, letter, symbol and tone by which the distribution and spatial arrangement of earth science data can be best expressed. The author discusses the development of the teaching of geological cartography in the Department of Earth Sciences at the University of Leeds. Details of this innovation are set against the background of data obtained from a recent questionnaire on the practice of cartography as a discipline in departments of geology in British universities. © 1971 The British Cartographic Society.;;;Article;Final;;Scopus;2-s2.0-84974923977;1
